Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-02,2.93,2.96,2.9,2.91,9513000,0,0
2018-05-03,2.91,2.95,2.88,2.93,12480666,0,0
2018-05-04,2.93,2.99,2.91,2.97,14829920,0,0
2018-05-07,2.97,3.0,2.95,2.98,9793427,0,0
2018-05-08,2.97,3.0,2.96,2.98,8942968,0,0
2018-05-09,2.97,3.01,2.97,2.99,9543684,0,0
2018-05-10,2.99,3.0,2.97,2.99,6356879,0,0
2018-05-11,2.99,2.99,2.95,2.95,6138400,0,0
2018-05-14,2.95,2.97,2.95,2.96,5673701,0,0
2018-05-15,2.96,2.98,2.94,2.98,7380587,0,0
2018-05-16,2.97,3.0,2.96,2.96,9585016,0,0
2018-05-17,2.96,2.97,2.93,2.94,8064368,0,0
2018-05-18,2.93,2.99,2.92,2.98,10533408,0,0
2018-05-21,3.05,3.18,3.05,3.12,45487754,0,0
2018-05-22,3.09,3.11,3.07,3.08,24263313,0,0
2018-05-23,3.09,3.09,3.01,3.01,15430007,0,0
2018-05-24,3.03,3.03,2.98,3.0,12477455,0,0
2018-05-25,2.99,3.01,2.97,2.98,8026200,0,0
2018-05-28,2.97,2.98,2.92,2.95,8107776,0,0
2018-05-29,2.94,2.97,2.93,2.95,6239993,0,0
2018-05-30,2.92,2.92,2.85,2.87,14839122,0,0
2018-05-31,2.88,2.96,2.88,2.95,17554314,0,0
2018-06-01,2.94,2.95,2.92,2.93,8124471,0,0
2018-06-04,2.92,2.95,2.91,2.92,5126600,0,0
2018-06-05,2.93,2.93,2.89,2.91,10037310,0,0
2018-06-06,2.91,2.94,2.89,2.92,7451575,0,0
2018-06-07,2.92,2.94,2.88,2.89,6999273,0,0
2018-06-08,2.89,2.89,2.84,2.86,8180087,0,0
2018-06-11,2.86,2.87,2.82,2.83,5915601,0,0
2018-06-12,2.85,2.85,2.82,2.84,5199578,0,0
2018-06-13,2.85,2.85,2.81,2.82,5385828,0,0
2018-06-14,2.81,2.82,2.77,2.79,8484900,0,0
2018-06-15,2.78,2.79,2.71,2.75,9499954,0,0
2018-06-19,2.72,2.72,2.48,2.5,21728555,0,0
2018-06-20,2.5,2.54,2.47,2.52,11967367,0,0
2018-06-21,2.53,2.56,2.46,2.47,11415002,0,0
2018-06-22,2.46,2.5,2.42,2.5,7437198,0,0
2018-06-25,2.51,2.52,2.47,2.48,6073327,0,0
2018-06-26,2.46,2.5,2.43,2.48,8734962,0,0
2018-06-27,2.48,2.5,2.45,2.46,7039710,0,0
2018-06-28,2.46,2.49,2.45,2.45,5511301,0,0
2018-06-29,2.45,2.5,2.44,2.49,7235281,0,0
2018-07-02,2.49,2.5,2.43,2.45,7978371,0,0
2018-07-03,2.46,2.48,2.43,2.48,7153229,0,0
2018-07-04,2.48,2.48,2.43,2.44,10239445,0,0
2018-07-05,2.43,2.45,2.36,2.37,11403001,0,0
2018-07-06,2.37,2.37,2.24,2.32,16022361,0,0
2018-07-09,2.32,2.35,2.31,2.35,9201838,0,0
2018-07-10,2.35,2.38,2.33,2.35,7554731,0,0
2018-07-11,2.34,2.34,2.27,2.3,11330536,0,0
2018-07-12,2.28,2.37,2.28,2.35,10359848,0,0
2018-07-13,2.35,2.37,2.34,2.36,7148850,0,0
2018-07-16,2.34,2.37,2.34,2.36,6447274,0,0
2018-07-17,2.36,2.36,2.33,2.35,5971326,0,0
2018-07-18,2.36,2.38,2.33,2.35,7868700,0,0
2018-07-19,2.34,2.37,2.32,2.33,5840622,0,0
2018-07-20,2.32,2.35,2.27,2.34,10592703,0,0
2018-07-23,2.33,2.41,2.31,2.4,16315270,0,0
2018-07-24,2.39,2.51,2.38,2.48,27918107,0,0
2018-07-25,2.46,2.48,2.44,2.46,13185818,0,0
2018-07-26,2.46,2.66,2.44,2.55,37615192,0,0
