Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-02,6.5,6.52,6.26,6.3,1781000,0,0
2018-05-03,6.26,6.26,6.11,6.21,1254000,0,0
2018-05-04,6.28,6.28,6.19,6.2,1172000,0,0
2018-05-07,6.15,6.3,6.06,6.16,683360,0,0
2018-05-08,6.26,6.26,6.12,6.16,397497,0,0
2018-05-09,6.25,6.25,6.14,6.19,229000,0,0
2018-05-10,6.22,6.36,6.04,6.07,1548970,0,0
2018-05-11,6.07,6.15,6.03,6.08,558000,0,0
2018-05-14,6.1,6.3,6.08,6.26,937000,0,0
2018-05-15,6.26,6.26,6.17,6.19,1500000,0,0
2018-05-16,6.14,6.17,6.07,6.14,1160850,0,0
2018-05-17,6.14,6.15,5.87,5.89,2215435,0,0
2018-05-18,5.9,6.05,5.8,5.96,3778000,0,0
2018-05-21,6.06,6.14,5.86,5.97,2428044,0,0
2018-05-23,5.9,6.03,5.78,5.8,3146000,0,0
2018-05-24,5.85,5.86,5.63,5.64,3567500,0,0
2018-05-25,5.7,5.7,5.64,5.66,3829000,0,0
2018-05-28,5.76,5.85,5.72,5.79,1078000,0,0
2018-05-29,5.78,6.0,5.78,5.88,1979057,0,0
2018-05-30,5.93,5.93,5.75,5.91,2195000,0,0
2018-05-31,5.95,6.55,5.87,6.27,5792000,0,0
2018-06-01,6.18,6.26,6.1,6.16,3417000,0,0
2018-06-04,6.2,6.2,6.05,6.1,1424000,0,0
2018-06-05,6.1,6.15,6.05,6.1,1236000,0,0
2018-06-06,6.3,6.3,6.09,6.1,867000,0,0
2018-06-07,6.2,6.29,6.16,6.17,1803000,0,0
2018-06-08,6.26,6.26,6.01,6.02,541000,0,0
2018-06-11,6.0,6.0,5.9,5.93,1625000,0,0
2018-06-12,5.93,6.0,5.91,5.94,907000,0,0
2018-06-13,5.99,6.02,5.92,6.0,1162000,0,0
2018-06-14,6.01,6.01,5.9,5.91,574000,0,0
2018-06-15,6.0,6.1,5.91,6.09,3068000,0,0
2018-06-19,6.05,6.05,5.7,5.75,1388000,0,0
2018-06-20,5.76,5.86,5.62,5.73,822000,0,0
2018-06-21,5.65,5.69,5.56,5.59,1107000,0,0
2018-06-22,5.58,5.74,5.55,5.62,664000,0,0
2018-06-25,5.62,5.74,5.59,5.6,955000,0,0
2018-06-26,5.6,5.68,5.59,5.62,959000,0,0
2018-06-27,5.63,5.64,5.6,5.6,1240000,0,0
2018-06-28,5.63,5.64,5.59,5.63,1292000,0,0
2018-06-29,5.59,5.92,5.64,5.88,1671000,0,0
2018-07-03,5.86,5.96,5.68,5.81,1392409,0,0
2018-07-04,5.82,5.86,5.76,5.78,707728,0,0
2018-07-05,5.8,5.87,5.74,5.79,793000,0,0
2018-07-06,5.83,5.89,5.79,5.8,311000,0,0
2018-07-09,5.84,6.04,5.81,6.03,445318,0,0
2018-07-10,6.04,6.04,5.9,5.92,132000,0,0
2018-07-11,5.89,5.92,5.81,5.9,469000,0,0
2018-07-12,5.92,6.01,5.82,5.97,717000,0,0
2018-07-13,6.02,6.02,5.9,5.92,157000,0,0
2018-07-16,5.99,6.24,5.99,6.06,971000,0,0
2018-07-17,6.02,6.1,6.02,6.1,236000,0,0
2018-07-18,6.1,6.1,6.01,6.1,174400,0,0
2018-07-19,6.1,6.24,6.0,6.03,905000,0,0
2018-07-20,6.04,6.09,5.86,5.91,251600,0,0
2018-07-23,5.88,6.01,5.84,6.0,179000,0,0
2018-07-24,6.01,6.02,5.87,5.9,601000,0,0
2018-07-25,5.83,6.04,5.83,5.94,294400,0,0
2018-07-26,6.0,6.0,5.83,5.87,892000,0,0
2018-07-27,5.87,5.87,5.79,5.85,334207,0,0
2018-07-30,5.88,5.88,5.69,5.73,288000,0,0
2018-07-31,5.81,5.83,5.65,5.72,459000,0,0
2018-08-01,5.72,5.81,5.61,5.64,281000,0,0
2018-08-02,5.72,5.79,5.67,5.7,249000,0,0
2018-08-03,5.67,5.84,5.66,5.81,388000,0,0
2018-08-06,5.82,5.86,5.78,5.83,257000,0,0
2018-08-07,5.8,5.88,5.8,5.86,309000,0,0
2018-08-08,5.88,5.96,5.86,5.95,450000,0,0
2018-08-09,5.92,5.97,5.89,5.95,307500,0,0
2018-08-10,5.94,5.94,5.83,5.93,753000,0,0
2018-08-13,5.9,5.99,5.8,5.95,1497000,0,0
2018-08-14,5.95,5.95,5.84,5.88,500000,0,0
2018-08-15,5.88,5.89,5.56,5.6,234600,0,0
2018-08-16,5.58,5.69,5.58,5.6,370086,0,0
2018-08-17,5.6,5.73,5.59,5.6,408000,0,0
2018-08-20,5.6,5.78,5.6,5.66,104000,0,0
2018-08-21,5.63,5.78,5.63,5.75,191000,0,0
2018-08-22,5.64,5.75,5.64,5.74,73000,0,0
2018-08-23,5.63,5.78,5.63,5.77,160000,0,0
2018-08-24,5.7,5.9,5.7,5.86,230000,0,0
2018-08-27,5.84,6.05,5.84,6.0,1133000,0,0
2018-08-28,5.85,6.05,5.85,6.0,248000,0,0
2018-08-29,5.95,6.08,5.95,6.02,1089000,0,0
2018-08-30,5.98,6.04,5.91,5.93,541000,0,0
2018-08-31,5.81,6.1,5.81,5.95,864000,0,0
2018-09-03,5.88,6.0,5.79,5.97,1145000,0,0
2018-09-04,5.81,6.05,5.81,6.02,874200,0,0
2018-09-05,5.93,6.01,5.65,5.71,305200,0,0
2018-09-06,5.65,5.78,5.6,5.62,482000,0,0
2018-09-07,5.61,5.75,5.6,5.61,632000,0,0
2018-09-10,5.78,5.78,5.55,5.6,930207,0,0
2018-09-11,5.59,5.61,5.53,5.56,684000,0,0
2018-09-12,5.6,5.7,5.51,5.6,883000,0,0
2018-09-13,5.6,5.65,5.59,5.62,645843,0,0
2018-09-14,5.62,5.66,5.6,5.61,382000,0,0
2018-09-17,5.65,5.65,5.53,5.61,544600,0,0
2018-09-18,5.57,5.62,5.57,5.61,414000,0,0
2018-09-19,5.74,5.86,5.59,5.65,1580000,0,0
2018-09-20,5.65,5.65,5.53,5.6,880000,0,0
2018-09-21,5.57,5.59,5.31,5.5,7260973,0,0
2018-09-24,5.49,5.5,5.4,5.44,5362000,0,0
2018-09-26,5.46,5.49,5.31,5.32,912400,0,0
2018-09-27,5.39,5.47,5.32,5.38,617000,0,0
2018-09-28,5.41,5.56,5.41,5.55,808000,0,0
2018-10-02,5.5,5.55,5.48,5.54,284000,0,0
2018-10-03,5.54,5.58,5.51,5.54,390000,0,0
2018-10-04,5.53,5.55,5.38,5.4,1020000,0,0
