Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-04-27,9.19,9.277,9.016,9.172,162492800,0.0,0
2012-04-30,9.19,9.485,9.172,9.433,77698200,0.0,0
2012-05-02,9.589,10.022,9.571,9.987,102939000,0.0,0
2012-05-03,9.901,10.143,9.831,9.97,47124200,0.0,0
2012-05-04,9.883,10.022,9.693,9.831,29220400,0.0,0
2012-05-07,9.693,9.71,9.467,9.675,17481400,0.0,0
2012-05-08,9.727,9.797,9.467,9.554,15133400,0.0,0
2012-05-09,9.467,9.537,9.103,9.277,27572800,0.0,0
2012-05-10,9.277,9.329,9.051,9.19,18364000,0.0,0
2012-05-11,9.207,9.225,9.068,9.138,10845000,0.0,0
2012-05-14,9.225,9.277,8.999,9.016,13587400,0.0,0
2012-05-15,8.93,9.138,8.774,9.086,24517600,0.0,0
2012-05-16,8.912,8.964,8.791,8.912,19683000,0.0,0
2012-05-17,8.895,9.034,8.878,8.982,17332400,0.0,0
2012-05-18,8.756,8.947,8.635,8.67,14996082,0.0,0
2012-05-21,8.583,8.67,8.366,8.592,7970155,0.0,0
2012-05-22,8.67,8.878,8.67,8.826,9472400,0.0,0
2012-05-23,8.704,8.843,8.609,8.843,11193200,0.0,0
2012-05-24,8.912,9.016,8.722,8.947,8847200,0.0,0
2012-05-25,8.947,9.051,8.774,8.86,3224200,0.0,0
2012-05-28,8.756,9.016,8.722,8.895,3458200,0.0,0
2012-05-29,8.791,9.485,7.118,9.415,19576400,0.0,0
2012-05-30,9.415,9.415,9.068,9.19,7672400,0.0,0
2012-05-31,9.103,9.433,9.016,9.363,12544400,0.0,0
2012-06-01,9.207,9.415,9.19,9.311,7456800,0.0,0
2012-06-04,9.068,9.086,8.67,8.756,10708200,0.0,0
2012-06-05,8.86,8.912,8.496,8.67,3662400,0.0,0
2012-06-06,8.67,8.791,8.574,8.583,3488400,0.0,0
2012-06-07,8.67,8.93,8.67,8.756,5911300,0.0,0
2012-06-08,8.86,9.138,8.722,9.051,18665400,0.0,0
2012-06-11,9.207,9.294,9.172,9.207,10698800,0.0,0
2012-06-12,8.999,9.277,8.982,9.259,5732200,0.0,0
2012-06-13,9.277,9.606,9.277,9.519,16667600,0.0,0
2012-06-14,9.363,9.606,9.363,9.485,9998400,0.0,0
2012-06-15,9.537,9.779,9.537,9.762,22721200,0.0,0
2012-06-18,9.866,10.126,9.571,9.658,16118200,0.0,0
2012-06-19,9.606,9.745,9.554,9.71,3453200,0.0,0
2012-06-20,9.797,9.883,9.537,9.641,10243600,0.0,0
2012-06-21,9.623,9.641,9.363,9.502,12501600,0.0,0
2012-06-22,9.329,9.537,9.259,9.467,8010000,0.0,0
2012-06-25,9.433,9.485,9.103,9.207,12131200,0.0,0
2012-06-26,9.086,9.225,8.999,9.016,7694600,0.0,0
2012-06-27,8.912,9.381,8.912,9.294,6981600,0.0,0
2012-06-28,9.346,9.519,9.19,9.207,6416800,0.0,0
2012-06-29,9.19,9.398,9.172,9.346,5139600,0.0,0
2012-07-03,9.433,9.433,9.12,9.172,4126100,0.0,0
2012-07-04,9.19,9.346,9.155,9.207,2661600,0.0,0
2012-07-05,9.207,9.207,8.999,9.138,4168800,0.0,0
2012-07-06,9.068,9.45,9.068,9.433,5853600,0.0,0
2012-07-09,9.294,9.363,9.103,9.19,2129600,0.0,0
2012-07-10,9.138,9.225,8.912,9.207,4843080,0.0,0
2012-07-11,9.086,9.242,9.034,9.103,3203000,0.0,0
2012-07-12,9.103,9.19,8.964,9.138,4391600,0.0,0
2012-07-13,9.068,9.225,9.016,9.103,2978776,0.0,0
2012-07-16,9.103,9.103,8.756,8.826,7045200,0.0,0
2012-07-17,8.756,9.103,8.704,9.068,6072800,0.0,0
2012-07-18,9.016,9.225,8.93,9.051,2218400,0.0,0
2012-07-19,9.086,9.259,9.016,9.051,3090800,0.0,0
2012-07-20,8.964,9.051,8.661,8.826,6940000,0.0,0
2012-07-23,8.756,8.774,8.496,8.687,3055200,0.0,0
2012-07-24,8.661,8.756,8.496,8.67,1267200,0.0,0
2012-07-25,8.531,8.661,8.193,8.201,10070000,0.0,0
2012-07-26,8.201,8.201,7.846,7.924,9149200,0.0,0
2012-07-27,7.976,8.34,7.976,8.262,10143200,0.0,0
2012-07-30,8.323,8.453,8.158,8.201,2049600,0.0,0
2012-07-31,8.193,8.245,7.898,8.236,4587200,0.0,0
2012-08-01,8.123,8.496,8.002,8.384,7411200,0.0,0
2012-08-02,8.366,8.496,8.063,8.132,3150000,0.0,0
2012-08-03,8.106,8.453,8.063,8.375,6075200,0.0,0
2012-08-06,8.505,8.566,8.375,8.418,5511600,0.0,0
2012-08-07,8.297,8.427,8.236,8.358,4927600,0.0,0
2012-08-08,8.392,8.609,8.332,8.54,12802200,0.0,0
2012-08-09,8.626,8.826,8.453,8.704,6351400,0.0,0
2012-08-10,8.626,8.704,8.514,8.618,3358400,0.0,0
2012-08-13,8.618,8.722,7.976,8.236,7960400,0.0,0
2012-08-14,8.254,8.34,8.045,8.227,6407800,0.0,0
2012-08-15,8.158,8.271,8.141,8.149,3974400,0.0,0
2012-08-16,8.123,8.149,8.019,8.08,1993900,0.0,0
2012-08-17,8.149,8.28,8.045,8.236,3655300,0.0,0
2012-08-20,8.219,8.219,8.08,8.149,1020400,0.0,0
2012-08-21,8.106,8.262,8.063,8.236,2240200,0.0,0
2012-08-22,8.254,8.254,8.063,8.141,881200,0.0,0
2012-08-23,8.123,8.271,8.123,8.193,1120800,0.0,0
2012-08-24,8.149,8.227,8.019,8.08,3078000,0.0,0
2012-08-27,8.011,8.063,7.664,7.725,4750000,0.0,0
2012-08-28,7.716,7.759,7.586,7.716,4650900,0.0,0
2012-08-29,7.629,7.785,7.629,7.716,1815200,0.0,0
2012-08-30,7.56,7.751,7.56,7.664,2363200,0.0,0
2012-08-31,7.629,7.638,7.361,7.378,6699200,0.0,0
2012-09-03,7.378,7.716,7.274,7.543,4950400,0.0,0
2012-09-04,7.465,7.673,7.456,7.482,1558800,0.0,0
2012-09-05,7.361,7.413,7.265,7.291,3760000,0.0,0
2012-09-06,7.196,7.413,7.187,7.291,5081520,0.0,0
2012-09-07,7.369,7.907,7.369,7.837,10167600,0.0,0
2012-09-10,7.889,8.236,7.716,8.054,5958800,0.0,0
2012-09-11,8.045,8.045,7.768,7.924,2953200,0.0,0
2012-09-12,7.959,8.037,7.872,7.933,2980800,0.0,0
2012-09-13,7.863,8.054,7.803,7.846,3709400,0.0,0
2012-09-14,7.976,8.132,7.967,8.054,8187000,0.0,0
