Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-05-07,4.7316,4.8266,4.6682,4.7157,529577942,0.0,0.0
2009-05-08,4.6999,4.6999,4.5362,4.6154,380198936,0.0,0.0
2009-05-11,4.6207,4.6365,4.4094,4.4147,362415406,0.0,0.0
2009-05-12,4.3777,4.5098,4.2933,4.4992,280162746,0.0,0.0
2009-05-13,4.5256,4.6735,4.5256,4.6471,483071889,0.0,0.0
2009-05-14,4.6048,4.7263,4.5573,4.6471,316359554,0.0,0.0
2009-05-15,4.6471,4.6471,4.6471,4.6471,0,0.0,0.0
2009-05-18,4.6576,4.6629,4.4886,4.6154,186265521,0.0,0.0
2009-05-19,4.5943,4.6629,4.5309,4.6418,351906174,0.0,0.0
2009-05-20,4.6523,4.7685,4.6154,4.6893,566309550,0.0,0.0
2009-05-21,4.6999,4.8319,4.6418,4.8266,740935377,0.0,0.0
2009-05-22,4.8847,4.8953,4.6471,4.6682,425924660,0.0,0.0
2009-05-25,4.5837,4.6576,4.4834,4.5784,280910164,0.0,0.0
2009-05-26,4.5837,4.6365,4.5203,4.5309,261508086,0.0,0.0
2009-05-27,4.5309,4.5784,4.4675,4.5256,250972120,0.0,0.0
2009-06-01,4.6101,4.9798,4.6101,4.9798,860225895,0.0,0.0
2009-06-02,5.1329,5.3969,5.1329,5.2385,882083248,0.0,0.0
2009-06-03,5.3618,5.5227,5.2546,5.4851,610642018,0.1,0.0
2009-06-04,5.3726,5.4423,5.2492,5.3565,592175204,0.0,0.0
2009-06-05,5.4744,5.6353,5.4154,5.453,808982156,0.0,0.0
2009-06-08,5.276,5.3994,5.1474,5.2492,525868935,0.0,0.0
2009-06-09,5.2492,5.2868,5.0508,5.2063,328314658,0.0,0.0
2009-06-10,5.26,5.2975,5.1581,5.2546,283155374,0.0,0.0
2009-06-11,5.2063,5.2278,5.1045,5.1205,225545906,0.0,0.0
2009-06-12,5.1205,5.1795,4.9329,5.0026,234930844,0.0,0.0
2009-06-15,4.8954,4.9436,4.8096,4.9168,321165236,0.0,0.0
2009-06-16,4.8417,5.1205,4.831,5.0562,337496829,0.0,0.0
2009-06-17,5.0187,5.1956,4.9114,5.0669,431082646,0.0,0.0
2009-06-18,5.0884,5.1205,4.9972,5.0562,319766499,0.0,0.0
2009-06-19,5.0348,5.0348,4.949,4.9972,206747928,0.0,0.0
2009-06-22,5.0401,5.1313,5.024,5.0937,331610614,0.0,0.0
2009-06-23,4.9865,5.083,4.9543,5.024,248154480,0.0,0.0
2009-06-24,5.0294,5.3994,5.0294,5.3833,775304102,0.0,0.0
2009-06-25,5.4262,5.4262,5.2331,5.3404,592333398,0.0,0.0
2009-06-26,5.3726,5.3994,5.26,5.335,355050264,0.0,0.0
2009-06-29,5.335,5.394,5.201,5.3297,408830540,0.0,0.0
2009-06-30,5.335,5.6138,5.2546,5.4691,658469643,0.0,0.0
2009-07-01,5.3672,5.4744,5.335,5.3886,450751682,0.0,0.0
2009-07-02,5.4423,5.9302,5.4369,5.7854,997556856,0.0,0.0
2009-07-03,5.6299,5.7586,5.6299,5.705,505311297,0.0,0.0
2009-07-06,5.7264,5.7586,5.5441,5.705,461307952,0.0,0.0
2009-07-07,5.6406,5.9195,5.5817,5.7801,616381236,0.0,0.0
2009-07-08,5.6835,5.9355,5.6675,5.839,585390964,0.0,0.0
2009-07-09,5.7854,5.9355,5.7264,5.9302,604759152,0.0,0.0
2009-07-10,5.9945,6.4127,5.9302,5.9516,1018087394,0.0,0.0
2009-07-13,5.7372,5.8069,5.6246,5.6406,701362350,0.0,0.0
2009-07-14,5.6621,5.7211,5.587,5.6835,352594218,0.0,0.0
2009-07-15,5.705,5.7801,5.6246,5.7801,546592250,0.0,0.0
2009-07-16,5.8605,5.9355,5.7157,5.7264,488870524,0.0,0.0
2009-07-17,5.6782,5.839,5.6567,5.7961,392014034,0.0,0.0
2009-07-20,5.8819,6.1983,5.8283,6.1822,785769670,0.0,0.0
2009-07-21,6.2465,6.3323,5.957,6.0213,561044064,0.0,0.0
