Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-05-07,1.04,1.08,1.03,1.05,1824000,0,0
2009-05-08,1.06,1.26,1.05,1.21,4428000,0,0
2009-05-11,1.23,1.29,1.17,1.18,1870000,0,0
2009-05-12,1.16,1.18,1.14,1.18,384000,0,0
2009-05-13,1.22,1.4,1.22,1.36,2838000,0,0
2009-05-14,1.31,1.48,1.3,1.39,1544000,0,0
2009-05-15,1.43,1.43,1.34,1.37,982000,0,0
2009-05-18,1.31,1.39,1.26,1.39,558000,0,0
2009-05-19,1.46,1.69,1.46,1.48,2762000,0,0
2009-05-20,1.6,1.6,1.45,1.52,910000,0,0
2009-05-21,1.46,1.56,1.46,1.46,630000,0,0
2009-05-22,1.44,1.59,1.44,1.53,1536000,0,0
2009-05-25,1.46,1.66,1.46,1.5,1406000,0,0
2009-05-26,1.52,1.69,1.52,1.62,1160000,0,0
2009-05-27,1.62,1.85,1.62,1.74,2622000,0,0
2009-05-29,1.74,1.75,1.66,1.72,552000,0,0
2009-06-01,1.72,1.78,1.68,1.73,1034000,0,0
2009-06-02,1.7,1.72,1.66,1.66,1062000,0,0
2009-06-03,1.67,1.72,1.65,1.65,726000,0,0
2009-06-04,1.61,1.67,1.55,1.63,902000,0,0
2009-06-05,1.68,1.69,1.63,1.65,606000,0,0
2009-06-08,1.63,1.63,1.54,1.54,2554000,0,0
2009-06-09,1.6,1.6,1.46,1.52,1004000,0,0
2009-06-10,1.48,1.55,1.48,1.52,1448000,0,0
2009-06-11,1.57,1.57,1.54,1.55,210000,0,0
2009-06-12,1.55,1.58,1.53,1.58,542000,0,0
2009-06-15,1.5,1.55,1.5,1.54,404000,0,0
2009-06-16,1.53,1.53,1.49,1.51,336000,0,0
2009-06-17,1.51,1.52,1.4,1.51,262000,0,0
2009-06-18,1.53,1.53,1.5,1.53,106000,0,0
2009-06-19,1.53,1.53,1.5,1.52,270000,0,0
2009-06-22,1.51,1.51,1.49,1.51,88000,0,0
2009-06-23,1.5,1.5,1.41,1.46,498000,0,0
2009-06-24,1.45,1.46,1.45,1.45,424000,0,0
2009-06-25,1.45,1.47,1.43,1.43,406000,0,0
2009-06-26,1.45,1.49,1.44,1.49,212000,0,0
2009-06-29,1.46,1.46,1.45,1.45,22000,0,0
2009-06-30,1.46,1.46,1.45,1.45,102000,0,0
2009-07-02,1.45,1.5,1.42,1.49,364000,0,0
2009-07-03,1.43,1.5,1.43,1.5,1100000,0,0
2009-07-06,1.48,1.54,1.45,1.54,528000,0,0
2009-07-07,1.54,1.62,1.52,1.58,156000,0,0
2009-07-08,1.57,1.57,1.5,1.53,130000,0,0
2009-07-09,1.56,1.56,1.48,1.53,70000,0,0
2009-07-10,1.53,1.53,1.46,1.5,348000,0,0
2009-07-13,1.52,1.55,1.49,1.49,144000,0,0
2009-07-14,1.48,1.53,1.48,1.53,1264000,0,0
2009-07-15,1.5,1.72,1.5,1.72,1393900,0,0
2009-07-16,1.7,1.7,1.64,1.66,248000,0,0
2009-07-17,1.62,1.74,1.62,1.74,690000,0,0
2009-07-20,1.7,1.85,1.7,1.74,590000,0,0
2009-07-21,1.74,1.75,1.74,1.75,260000,0,0
2009-07-22,1.8,1.95,1.8,1.85,2440000,0,0
2009-07-23,1.83,1.89,1.77,1.83,524000,0,0
2009-07-24,1.9,1.9,1.83,1.83,204000,0,0
2009-07-27,1.85,1.89,1.83,1.85,688000,0,0
2009-07-28,1.88,2.0,1.81,1.93,1406000,0,0
2009-07-29,1.9,2.14,1.9,1.95,2270000,0,0
2009-07-30,2.05,2.1,1.9,2.07,730000,0,0
2009-07-31,2.16,2.36,2.13,2.25,2014000,0,0
2009-08-03,2.24,2.48,2.24,2.42,1636000,0,0
2009-08-04,2.42,2.52,2.34,2.38,632000,0,0
2009-08-05,2.42,2.48,2.35,2.39,1062000,0,0
2009-08-06,2.35,2.35,2.15,2.23,1484000,0,0
2009-08-07,2.2,2.22,2.03,2.07,676000,0,0
2009-08-10,2.07,2.36,2.07,2.33,1450000,0,0
2009-08-11,2.34,2.45,2.3,2.39,920000,0,0
2009-08-12,2.56,2.56,2.25,2.25,918000,0,0
2009-08-13,2.3,2.3,2.25,2.3,298000,0,0
2009-08-14,2.21,2.21,2.12,2.19,164000,0,0
2009-08-17,2.02,2.04,1.9,1.96,878000,0,0
2009-08-18,1.9,1.95,1.85,1.95,766000,0,0
2009-08-19,1.88,1.88,1.8,1.82,420000,0,0
2009-08-20,1.81,1.94,1.81,1.94,294000,0,0
2009-08-21,2.0,2.0,1.9,1.9,202000,0,0
2009-08-24,1.91,2.05,1.91,2.02,910000,0,0
2009-08-25,2.08,2.14,2.01,2.14,1226500,0,0
2009-08-26,2.14,2.14,2.14,2.14,0,0,0
2009-08-27,1.97,2.0,1.93,2.0,254000,0,0
2009-08-28,1.94,1.98,1.86,1.93,424000,0,0
2009-08-31,1.9,1.94,1.83,1.91,610000,0,0
2009-09-01,1.9,1.95,1.86,1.95,448000,0,0
2009-09-02,1.89,1.9,1.85,1.9,310000,0,0
2009-09-03,1.93,2.05,1.93,2.03,628000,0,0
2009-09-04,2.05,2.05,2.04,2.04,100000,0,0
2009-09-07,2.1,2.13,2.03,2.03,250000,0,0
2009-09-08,1.94,2.07,1.94,2.01,346000,0,0
2009-09-09,1.98,2.0,1.95,1.96,184000,0,0
2009-09-10,2.0,2.0,1.96,1.97,584000,0,0
2009-09-11,1.98,1.98,1.87,1.92,750000,0,0
2009-09-14,1.89,1.92,1.88,1.9,498000,0,0
2009-09-15,1.9,1.9,1.9,1.9,100000,0,0
2009-09-16,1.9,1.94,1.88,1.94,230000,0,0
2009-09-17,1.99,2.05,1.99,2.04,638000,0,0
2009-09-18,2.01,2.05,2.0,2.05,410000,0,0
2009-09-21,2.0,2.0,1.98,1.98,178000,0,0
2009-09-22,1.93,1.98,1.9,1.97,154000,0,0
2009-09-23,1.98,1.98,1.91,1.93,46000,0,0
2009-09-24,1.86,1.9,1.86,1.9,62000,0,0
2009-09-25,1.95,1.95,1.94,1.94,10000,0,0
