Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-02,5.09,5.13,4.81,4.86,27399840,0.0,0
2018-05-03,4.85,4.88,4.78,4.84,11160411,0.0,0
2018-05-04,4.85,4.86,4.81,4.84,9183167,0.0,0
2018-05-07,4.84,4.89,4.83,4.87,8818793,0.0,0
2018-05-08,4.86,4.87,4.84,4.86,9489775,0.0,0
2018-05-09,4.86,4.87,4.84,4.84,8114215,0.0,0
2018-05-10,4.86,4.9,4.85,4.87,8296702,0.0,0
2018-05-11,4.89,4.89,4.84,4.85,7416541,0.0,0
2018-05-14,4.86,4.88,4.84,4.85,6149830,0.0,0
2018-05-15,4.85,4.85,4.73,4.79,15836514,0.0,0
2018-05-16,4.79,4.79,4.74,4.76,7343610,0.0,0
2018-05-17,4.76,4.79,4.75,4.76,5793685,0.0,0
2018-05-18,4.77,4.88,4.74,4.88,13620662,0.0,0
2018-05-21,4.88,4.88,4.88,4.88,0,0.0,0
2018-05-22,5.53,5.59,5.37,5.39,63263402,0.0,0
2018-05-23,5.32,5.36,5.16,5.18,32790565,0.0,0
2018-05-24,5.2,5.26,5.13,5.18,18322869,0.0,0
2018-05-25,5.17,5.28,5.16,5.2,17649988,0.0,0
2018-05-28,5.22,5.31,5.13,5.25,10739528,0.0,0
2018-05-29,5.22,5.3,5.16,5.17,9903459,0.0,0
2018-05-30,4.99,5.02,4.89,4.92,13488689,0.0,0
2018-05-31,4.97,5.01,4.94,4.98,9340084,0.0,0
2018-06-01,4.94,5.02,4.92,4.97,8433414,0.0,0
2018-06-04,5.0,5.02,4.92,4.97,8660432,0.0,0
2018-06-05,4.94,4.98,4.91,4.97,6662964,0.0,0
2018-06-06,4.98,5.06,4.93,5.04,7775058,0.0,0
2018-06-07,5.08,5.08,4.95,4.96,7032800,0.0,0
2018-06-08,4.99,5.0,4.81,4.87,8571638,0.0,0
2018-06-11,4.87,4.87,4.79,4.82,6126663,0.0,0
